values	weights
Norma	1
Noura	1
NoĂe	1
NoĂee	1
NoĂemie	1
Nuray	1
Nyawira	1
NĹ«r	1
Odette	1
OleksĂ¬ĂŻvna	1
Olga	1
Oliwia	1
Ona	1
Orkhanovna	1
Orli	1
Orlinova	1
Palina	1
Patricia	1
Paula	1
Pearl	1
Peggy	1
Penelope	1
Peppina	1
Petya	1
Philine	1
Philomena	1
Pia	1
Pietje	1
Pippin	1
Pixie	1
Primrose	1
Qiao	1
Qiaochu	1
Rae	1
Rafaela	1
Raija	1
Raissa	1
Ramatoulaye	1
Rani	1
Raquel	1
Rebecca	1
Refo	1
Remy	1
Ren	1
Rhea	1
Rodille	1
Rojin	1
Roma	1
Romualda	1
Roos	1
Rosalina	1
Rosi	1
Rougaya	1
Rozalia	1
RĂłĹĽa	1
Saeed	1
Sakura	1
Salieva	1
Salome	1
Samhitha	1
Samia	1
Samyuktha	1
Santos	1
Sare	1
Saskia	1
Scania	1
Scarlette	1
Schirin	1
Seda	1
Sefre	1
Selin	1
Selvi	1
Sergeevna	1
Sergiivna	1
Sevginer	1
Shani	1
Shir	1
Shirin	1
Si-Lei	1
Silvana	1
Sina	1
Skadi	1
Sky	1
Sofya	1
Soki	1
Sol	1
Solea	1
SolĂ¨ne	1
Sonja	1
Soraya	1
Spirit	1
Stanislavovna	1
Stella	1
Suri	1
Susann	1
Susanne	1
Susi	1
Suzanne	1
Suzy	1
Sylva	1
Talia	1
Tara	1
Taraneh	1
Telse	1
Temitayo	1
Tendai	1
Thalia	1
Theodora	1
Thieny	1
Tiger	1
Tijara	1
Tilda	1
Tilla	1
Tina	1
Trisha	1
Tubia	1
Ulrike	1
Uta	1
Ute	1
Vaiana	1
Valeria	1
Vendetta	1
Vi	1
Vida	1
Vilya	1
Vittoria	1
Vladislavovna	1
Vusal	1
Walid	1
Wambeti	1
Wan-Yin	1
Willemin	1
Willow	1
Xiaomai	1
Xixi	1
Yara	1
Yaz	1
Yi	1
Yildiz	1
Yordanka	1
Yunyi	1
Yuqiao	1
Yuryevna	1
Yvonne	1
Zi	1
Zoi	1
Zora	1
ZoĂ«	1
Adnan	1
Agathe	1
Aglaia	1
Alexandra	1
Alexis	1
Ali	1
Alina	1
Almahdi	1
Amal	1
Amar	1
Amelie	1
Amer	1
Anita	1
Ann	1
Annette	1
Anouk	1
Antonietta	1
Assena	1
Aurore	1
Avery	1
Avin	1
Barbara	1
Beate	1
Bellissima	1
Birgit	1
Bogumila	1
Carina	1
Caroline	1
Cato	1
Cecilie	1
Christa	1
Christiane	1
Christin	1
Clara	1
CĂecile	1
Dagmar	1
Dakota	1
Daphna	1
Dua	1
Elanur	1
Elaref	1
Elena	1
Eleni	1
Eleonore	1
Elfriede	1
Elis	1
Elisa	1
Ellie	1
Emine	1
EncarnaciĂłn	1
Erika	1
Etido	1
Eve	1
Fe	1
Francesca	1
Friedgart	1
Gabriele	1
Gerda	1
Golnar	1
Grace	1
Hazel	1
Hedi	1
Helena	1
Helga	1
Heliane	1
Hilda	1
Hildegard	1
Hiu-Man	1
Hope	1
HĂ˘n	1
Imena	1
Inge	1
Ingeborg	1
Ingrid	1
Ingridi	1
Ivanova	1
Janina	1
Jeanne	1
Jedi	1
Jenchira	1
Julienne	1
Juma	1
Jutta	1
Kali	1
Kalunga	1
Karin	1
Kleive	1
KĂ¤the	1
Laetitia	1
